FirstByte	LastByte	Type	Compressed	Description	Modified
002E9A	002F00	CODE	N	Event Command AB	2008.02.20
002F01	002F70	CODE	N	Event Command B7	2008.02.20
002F71	002F95	CODE	N	Event Command AC	2008.02.20
002F96	002FC5	CODE	N	Event Command AD	2008.02.20
002FC6	002FFC	CODE	N	"Event Commands B9, BA, BC, BD"	2008.02.20
002FFD	00305B	CODE	N	"Event Command AF, B0"	2008.02.20
00305E	00326B	CODE	N	Unknown routines	2008.02.20
00326C	003459	CODE	N	Event Command D9	2008.02.20
00345A	00353E	CODE	N	Event Command DA	2008.02.20
00353F	003542	CODE	N	Unknown routines	2008.02.20
003543	003545	CODE	N	Event Command B2	2008.02.20
003546	00354E	CODE	N	Event Command B5	2008.02.20
00354F	003556	CODE	N	Event Command B6	2008.02.20
003557	00356F	CODE	N	Event Command B8	2008.02.20
003570	0035B4	CODE	N	Event Command BB	2008.02.20
0035B5	0035FB	CODE	N	Event Command C1	2008.02.20
0035FC	003642	CODE	N	Event Command C2	2008.02.20
003643	003710	CODE	N	"Event Commands C0, C3, C4"	2008.02.20
003711	003756	CODE	N	Event Command 33	2008.02.20
003757	00377F	CODE	N	Event Command C8	2008.02.20
003780	0037B0	CODE	N	Event Command C9	2008.02.20
0037B1	0037E2	CODE	N	"Event Commands C7, CA"	2008.02.20
0037E3	0037F8	CODE	N	Event Command CB	2008.02.20
0037F9	003826	CODE	N	Event Command D7	2008.02.20
003827	00385A	CODE	N	Event Command CC	2008.02.20
00385B	003873	CODE	N	Event Command CD	2008.02.20
003874	00388C	CODE	N	Event Command CE	2008.02.20
00388D	0038BD	CODE	N	Event Command CF	2008.02.20
0038BE	0038D2	CODE	N	Event Command D0	2008.02.20
0038D3	0038E7	CODE	N	Event Command D1	2008.02.20
0038E8	003918	CODE	N	Event Command D2	2008.02.20
003919	00394D	CODE	N	Event Command D3	2008.02.20
00394E	003A06	CODE	N	Event Command D4	2008.02.20
003A07	003A67	CODE	N	Event Command D6	2008.02.20
003A68	003A82	CODE	N	Event Command D5	2008.02.20
003A83	003AAC	CODE	N	Event Command D8	2008.02.20
003AAD	003AB6	CODE	N	Unknown routines	2008.02.20
003AB7	003AF0	CODE	N	Event Command E0	2008.02.20
003AF1	003B1A	CODE	N	Event Command DC	2008.02.20
003B1B	003B4A	CODE	N	"Event Commands DD, DE"	2008.02.20
003B4B	003B9D	CODE	N	"Event Commands DF, E1"	2008.02.20
003B9E	003C04	CODE	N	Event Command E2	2008.02.20
003C05	003C10	CODE	N	Event Command E3	2008.02.20
003C11	003C2E	CODE	N	Event Command E8	2008.02.20
003C2F	003C4B	CODE	N	Event Command EA	2008.02.20
003C4C	003C97	CODE	N	Event Command EB	2008.02.20
003C98	003CBB	CODE	N	Event Command EC	2008.02.20
003CBC	003CC4	CODE	N	Event Command ED	2008.02.20
003CC5	003CCF	CODE	N	Event Command EE	2008.02.20
003CD0	003CFC	CODE	N	Event Command F0	2008.02.20
003CFD	003D06	CODE	N	Event Command F2	2008.02.20
003D07	003D79	CODE	N	Event Command F1	2008.02.20
003D7A	003D83	CODE	N	Event Command F3	2008.02.20
003D84	003D96	CODE	N	Event Command F4	2008.02.20
003D97	003DC4	CODE	N	Event Command E4	2008.02.20
003DC5	003DF3	CODE	N	Event Command E5	2008.02.20
003DF4	003E2F	CODE	N	Event Command E6	2008.02.20
003E30	003E5B	CODE	N	Event Command E7	2008.02.20
003E5C	003E7B	CODE	N	"Event Command F8, F9, FA"	2008.02.20
003E7C	003E83	CODE	N	Unknown routines	2008.02.20
003E84	003ED5	CODE	N	Event Command 29	2008.02.20
003ED6	003EE5	CODE	N	"Event Commands 2A, 2B, 32"	2008.02.20
003EE6	003F11	CODE	N	Event Command 2C	2008.02.20
003F12	003F25	CODE	N	Event Command 2F	2008.02.20
003F26	003FAE	CODE	N	Event Command FE	2008.02.20
003FAF	00400D	CODE	N	Event Command FF	2008.02.20
00400E	004035	PTR	N	Pointers to Event Command FF subroutines	2008.02.20
004036	0041E3	CODE	N	Subroutines for Event Command FF	2008.02.20
0041E4	004475	CODE	N	"Event Commands 57, 5C, 62, 68, 6A, 6C, 6D, 80"	2008.02.20
004476	004556	CODE	N	Event Command 81	2008.02.20
004557	0046DE	CODE	N	Event Command 82 (partial overlap with 83)	2008.02.20
0046DF	00477A	CODE	N	Event Command 83	2008.02.20
00477B	00477B	DATA	N	Starting enemy index that uses uncompressed graphics ($F8)	2008.02.20
00477C	0047EB	CODE	N	Event Command 83	2008.02.20
0047EC	0047EF	CODE	N	Check static enemy setting	2008.02.20
0047F0	0047F6	CODE	N	Routines used for static enemy	2008.02.20
0047F7	004866	CODE	N	Event Command 83	2008.02.20
004867	004875	CODE	N	Event Command 84	2008.02.20
004876	004891	CODE	N	Event Command 87	2008.02.20
004892	004A4D	CODE	N	Event Command 88	2008.02.20
004A4E	004B48	CODE	N	Event Command 2E	2008.02.20
004B49	004B57	CODE	N	Event Command 89	2008.02.20
004B58	004B73	CODE	N	Event Command 8A	2008.02.20
004B74	004BC2	CODE	N	Event Command 8B	2008.02.20
004BC3	004C26	CODE	N	Event Command 8C	2008.02.20
004C27	004C73	CODE	N	Event Command 8D	2008.02.20
004C74	004CD4	CODE	N	Event Command 8E	2008.02.20
004CD5	004D05	CODE	N	"Event Commands 7C, 7D, 7E, 90, 91"	2008.02.20
004D06	004E24	CODE	N	Event Command 7A	2008.02.20
004E25	004E72	CODE	N	Event Command 7B	2008.02.20
004E73	004EC6	CODE	N	Event Command 92	2008.02.20
004EC7	004F09	CODE	N	Event Command 9C	2008.02.20
004F0A	004F60	CODE	N	Event Command 9D	2008.02.20
004F61	004FE9	CODE	N	Event Command 96	2008.02.20
004FEA	005083	CODE	N	Event Command 9A	2008.02.20
005084	005128	CODE	N	Event Command 97	2008.02.20
005129	005190	CODE	N	Event Command A0	2008.02.20
005191	005214	CODE	N	Event Command A1	2008.02.20
005215	0052BF	CODE	N	Event Command 94	2008.02.20
0052C0	005349	CODE	N	Event Command 9E	2008.02.20
00534A	00540F	CODE	N	Event Command 98	2008.02.20
005410	005428	CODE	N	Event Command 95 (overlaps 94)	2008.02.20
005429	0054F4	CODE	N	Event Command 8F	2008.02.20
0054F5	00550D	CODE	N	Event Command 9F (overlaps 9E)	2008.02.20
00550E	005534	CODE	N	Event Command 99 (overlaps 98)	2008.02.20
005535	00559F	CODE	N	"Event Commands 0F, 17, 1B, 1D, 1E, 1F, 25, 26, A6, A7"	2008.02.20
0055A0	005613	CODE	N	"Event Commands A8, A9"	2008.02.20
005614	0058FF	CODE	N	Unknown routines	2008.02.20
005900	005913	CODE	N	Event Command startup access processing routine	2008.02.20
005914	005AA2	CODE	N	Unknown routines	2008.02.20
005AA3	005AB8	CODE	N	Event Command arbitrary access processing routine	2008.02.20
005AB9	005C8F	CODE	N	Unknown routines	2008.02.20
005C90	005CC1	CODE	N	"Subroutine called by Event Commands 82, 83 . Checks for loaded sprite graphics."	2008.02.20
005CC2	005CC6	CODE	N	Unknown routines	2008.02.20
005CC7	005CDC	CODE	N	Routines check for old BETA $0D0A location event format	2008.02.20
005CDD	005CEB	CODE	N	Routines check decompressed location event size	2008.02.20
005CEC	005D36	CODE	N	Unknown routines	2008.02.20
005D37	005D6D	???	N	Unknown data	2008.02.20
005D6E	005F6D	PTR	N	Pointers to Event Command routines (local)	2008.02.20
005F6E	005F73	CODE	N	Event Command 01 and others (crash = light yellow)	2008.02.20
005F74	005FB5	CODE	N	Event Command 00	2008.02.20
005FB6	00607D	CODE	N	Event Command 02	2008.02.20
00607E	006108	CODE	N	Event Command 03	2008.02.20
006109	0061E8	CODE	N	Event Command 04	2008.02.20
0061E9	0061FD	CODE	N	"Event Command 05, overlaps 02"	2008.02.20
0061FE	00623F	CODE	N	"Event Commands 06, 07, overlaps 04"	2008.02.20
006240	006253	CODE	N	"Event Commands 08, 09"	2008.02.20
006254	006268	CODE	N	Event Command 0A	2008.02.20
006269	006294	CODE	N	"Event Commands 0B, 0C"	2008.02.20
006295	0062B4	CODE	N	"Event Commands 0D, 0E"	2008.02.20
0062B5	0062DD	CODE	N	"Event Commands 10, 11"	2008.02.20
0062DE	006441	CODE	N	"Event Commands 12, 13, 14, 15, 16"	2008.02.20
006442	006466	CODE	N	Event Command 18	2008.02.20
006467	006486	PTR	N	Pointers to Event Command 16 Operator routines (local)	2008.02.20
006487	00653A	CODE	N	Event Command 16 Operator routines	2008.02.20
00653B	006567	CODE	N	"Event Command 19, 1C"	2008.02.20
006568	00658E	CODE	N	Event Command 1A	2008.02.20
00658F	0065A9	CODE	N	Event Command 20	2008.02.20
0065AA	0065F7	CODE	N	"Event Commands 21, 22"	2008.02.20
0065F8	00662B	CODE	N	"Event Commands 23, 24"	2008.02.20
00662C	006654	CODE	N	Event Command 27	2008.02.20
006655	0066A4	CODE	N	Event Command 28	2008.02.20
0066A5	006787	CODE	N	"Event Commands 2D, 30, 31, 34, 35, 36, 37, 38, 39, 3F, 40, 41, 42, 43, 44 (and probably 3B, 3C)"	2008.02.20
006788	006791	CODE	N	Event Command 47	2008.02.20
006792	0067D6	CODE	N	"Event Commands 48, 49"	2008.02.20
0067D7	00680B	CODE	N	"Event Commands 4A, 4B"	2008.02.20
00680C	006828	CODE	N	Event Command 4C	2008.02.20
006829	006845	CODE	N	Event Command 4D	2008.02.20
006846	0068A4	CODE	N	Event Command 4E	2008.02.20
0068A5	0068C5	CODE	N	Event Command 4F	2008.02.20
0068C6	0068E8	CODE	N	Event Command 50	2008.02.20
0068E9	006912	CODE	N	Event Command 51	2008.02.20
006913	00693C	CODE	N	Event Command 52	2008.02.20
00693D	006963	CODE	N	Event Command 53	2008.02.20
006964	00698A	CODE	N	Event Command 54	2008.02.20
00698B	0069A5	CODE	N	Event Command 55	2008.02.20
0069A6	0069C3	CODE	N	Event Command 56	2008.02.20
0069C4	0069EA	CODE	N	Event Command 58	2008.02.20
0069EB	006A11	CODE	N	Event Command 59	2008.02.20
006A12	006A1E	CODE	N	Event Command 5A	2008.02.20
006A1F	006A44	CODE	N	Event Command 5B	2008.02.20
006A45	006A73	CODE	N	Event Command 5D	2009.01.27
006A74	006AA2	CODE	N	Event Command 5E	2008.02.20
006AA3	006AC8	CODE	N	Event Command 5F	2008.02.20
006AC9	006AF0	CODE	N	Event Command 60	2008.02.20
006AF1	006B1F	CODE	N	Event Command 61	2008.02.20
006B20	006B4A	CODE	N	Event Command 63	2008.02.20
006B4B	006B75	CODE	N	Unknown routines	2008.02.20
006B76	006BA3	CODE	N	Event Command 65	2008.02.20
006BA4	006BD1	CODE	N	Event Command 66	2008.02.20
006BD2	006BF6	CODE	N	Event Command 67	2008.02.20
006BF7	006C1B	CODE	N	Event Command 69	2008.02.20
006C1C	006C40	CODE	N	Event Command 6B	2008.02.20
006C41	006C68	CODE	N	Event Command 6F	2008.02.20
006C69	006C84	CODE	N	Event Command 71	2008.02.20
006C85	006CA0	CODE	N	Event Command 72	2008.02.20
006CA1	006CBC	CODE	N	Event Command 73	2008.02.20
006CBD	006CD5	CODE	N	Event Command 75	2008.02.20
006CD6	006CEF	CODE	N	Event Command 76	2008.02.20
006CF0	006D08	CODE	N	Event Command 77	2008.02.20
006D09	006D2E	CODE	N	Event Command 7F	2008.02.20
006D2F	006E26	CODE	N	Unknown routines	2008.02.20
006E27	006E40	CODE	N	"Subroutine called by Event Command 29, load source and destination address to decompress ASCII credits text font"	2008.02.20
006E41	006E5B	CODE	N	"Subroutine called by Event Command 29, DMA info for ASCII credits text font"	2008.02.20
006E5C	006E9F	CODE	N	Unknown routines	2008.02.20
006EA0	006EAF	DATA	N	"Window background type data, 2 bytes per window (8 total"	2008.02.20
006EB0	00759F	CODE	N	Unknown routines	2008.02.20
0075A0	0075E8	CODE	N	"Unknown routines used by Event Command 29, and ???"	2008.02.20
0075E9	009AA0	CODE	N	Unknown routines	2008.02.20
009AA1	009AC7	CODE	N	Load Tile Properties	2008.02.20
009AC8	009AD2	CODE	N	Unknown routines	2008.02.20
009AD3	009B61	CODE	N	Check Tile Properties	2008.02.20
009B61	009BF4	CODE	N	Unknown routines	2008.02.20
009BF5	009C0A	DATA	N	data related to tile solidity	2008.02.20
009C0B	009C20	DATA	N	data related to tile solidity	2008.02.20
009C21	009C36	DATA	N	data related to tile solidity	2008.02.20
009C36	009FF6	CODE	N	Unknown routines	2008.02.20
009FF7	00A078	PTR	N	"Pointers to unknown routines, used indirectly by Event Command B0, mostly aliases (first at 009FF2)"	2008.02.20
00A079	00A6AE	CODE	N	Unknown routines	2008.02.20
00A6AF	00A70D	CODE	N	Create Location exit map	2008.02.20
00A70E	00C5C1	CODE	N	Unknown routines	2008.02.20
00C5C2			N		2008.02.20
00C98A	00EC76	CODE	N	Unknown routines	2008.02.20
00EC77	00ECA2	CODE	N	ASCII text related DMA to VRAM	2008.02.20
00ECA3	00F1A5	CODE	N	Unknown routines	2008.02.20
00F1A6			N		2008.02.20
00F2F0	00F2FF	---	N	UNUSED SPACE (16 bytes)	2008.02.20
00F300			N		2008.02.20
00F700	00F7FF	DATA	N	"Unknown data, related to sprite movement (North, South, East, West)?"	2008.02.20
00F800	00F8FF	DATA	N	Unknown data related to PC2 and PC3 following on Dactyl	2008.02.20
00F900					2008.02.20
00FD00	00FDFF	DATA	N	Random number data sorted by column(?)	2008.02.20
00FE00	00FEFF	DATA	N	Random numbers (1 byte each) used by Event Command 7F	2008.02.20
00FF00	00FF06	CODE	N	Entry point in SMC (finish w/ jump to 3DC000)	2008.02.20
00FF07			N		2008.02.20
00FF10	00FF13	CODE	N	Jumps to 7E0500 in memory	2008.02.20
00FF14					2008.02.20
00FF20	00FF27	DATA	N	Values used to set a bit by event code	2008.02.20
00FF28	00FF2F	DATA	N	Values used to reset a bit by event code	2008.02.20
00FF30			N		2008.02.20
00FFB2	00FFB5	TXT	N	Game ID (ACTJ)	2007.06.28
00FFB6					2007.06.28
011A7C	011A80	CODE	N	Routines check result of SightScope/Relic equip status	2007.06.28
011A81	011A89	CODE	N	Routines used if SightScope/Relic check passes (equipped)	2007.06.28
011A8A	011A93	CODE	N	Routines check enemy name in target window byte	2007.06.28
011A94	011A97	CODE	N	Routines used if enemy name in target window byte check $01	2007.06.28
011A98	011A9A	CODE	N	Routines used if enemy name in target window byte check $00	2007.06.28
011A9B	011A9E	CODE	N	Routines used for enemy name in target window	2007.06.28
011A9F	011AA0	CODE	N	Branch after performing enemy name/HP display routines	2007.06.28
011AA1	011ABD	CODE	N	Routines copy enemy current and max HP for dialog display	2007.06.28
011ABE	011AC4	CODE	N	Routines check enemy name in target window byte	2007.06.28
011AC5	011AC8	CODE	N	Routines used if enemy name in target window byte check $01	2007.06.28
011AC9	011ACF	CODE	N	Routines used if enemy name in target window byte check $00	2007.06.28
011AD0					2007.06.28
017A26	017AE7	PTR	N	"Pointers to unknown battle routines, 97 total"	2007.06.28
017AE8					2007.06.28
022545	022555	CODE	N	Routines determine exchange/reg. menu to load on overworld	2007.06.28
022556					2007.06.28
0226D6	0226EF	CODE	N	Routines copy overworld storyline counter and flags	2007.06.28
0226F0					2007.06.28
02274D	022767	CODE	N	Routines determine overworld and store data pointer to mem.	2007.06.28
022768					2007.06.28
022D91	022D95	CODE	N	Routines for checking if Black Omen should be loaded	2007.06.28
022D96	022D96	DATA	N	Storyline value for Black Omen on overworld map	2007.06.28
022D97	022DB0	CODE	N	Routines for checking if Black Omen should be loaded	2007.06.28
022DB1	022DCC	CODE	N	Black Omen on map 1F0 1000 AD Present	2007.06.28
022DCD	022DF2	CODE	N	Black Omen on map 1F1 600 AD Middle Ages	2007.06.28
022DF3	022E0E	CODE	N	Black Omen on map 1F2 2300 AD Future	2007.06.28
022E0F	022E22	CODE	N	Black Omen on map 1F6 12000 BC Last Village	2007.06.28
022E23					2007.06.28
0230EF	0230F3	CODE	N	Routines check if Epoch has been obtained	2007.06.28
0230F4	023100	CODE	N	Routines check if Epoch is on current overworld map	2007.06.28
023101	023102	CODE	N	Routines determine if Epoch is on current overworld map	2007.06.28
023103	02310C	CODE	N	Routines copy Epoch X and Y coordinates within memory	2007.06.28
02310D	02311E	CODE	N	Unknown routines	2007.06.28
02311F	023121	CODE	N	Routines load overworld storyline counter	2007.06.28
023122	023122	CODE	N	Routines compare storyline counter value for Epoch cutscene	2007.06.28
023123	023123	DATA	N	Storyline value for Epoch on ground cutscene ($D2)	2007.06.28
023124	023125	CODE	N	Routines determine whether to play Epoch cutscene	2007.06.28
023126	023149	CODE	N	Unknown Epoch routines	2007.06.28
02314A	023158	CODE	N	Routines used for Epoch $D2 storyline cutscene	2007.06.28
023159	02315D	CODE	N	Routines check if Dactyls have been obtained	2007.06.28
023164	023165	DATA	N	Map Dactyls can be used on (01F3 65000000 BC Prehistoric)	2007.06.28
023166	023167	CODE	N	Routines check if this map can have Dactyls	2007.06.28
023168	023171	CODE	N	Routines copy Dactyl X and Y coordinates within memory	2007.06.28
023172	023183	CODE	N	Unknown routines	2007.06.28
023184	0231A7	CODE	N	"Unknown routines, used when boarding Dactyls"	2007.06.28
0231A8					2007.06.28
0231F2	0231F9	PTR	N	Pointers to unknown overworld routines	2007.06.28
0231FA					2007.06.28
023224	02322B	PTR	N	Pointers to unknown overworld routines	2007.06.28
02322C					2007.06.28
02346D	02347A	CODE	N	Routines copy Epoch coordinates within memory	2007.06.28
02347B					2007.06.28
023493	02349A	PTR	N	Pointers to unknown overworld routines	2007.06.28
02349B					2007.06.28
0234A3	0234AA	PTR	N	Pointers to unknown overworld routines	2007.06.28
0234AB					2007.06.28
02351E	023163	CODE	N	Routines check if current map is 01F3	2007.06.28
02357C	023583	CODE	N	Routines check if menu button pressed on land	2007.06.28
023584	023588	CODE	N	Routines check if character exchange button pressed on land	2007.06.28
023589	023592	CODE	N	Routines check if Select button pressed on land	2007.06.28
023593					2007.06.28
02360C	02360C	DATA	N	Storyline value for overworld party exchange menu ($49)	2007.06.28
02360D					2007.06.28
0236B4	0236B5	CODE	N	Routines determine if tile properties don't allow walking?	2007.06.28
0236B6					2007.06.28
0237CA	0237D1	PTR	N	Pointers to unknown overworld routines	2007.06.28
0237D2					2007.06.28
0239C3	0239D4	CODE	N	Routines check tile properties for PC walking?	2007.06.28
0239D5					2007.06.28
023ABA	023AC1	PTR	N	Pointers to unknown overworld routines	2007.06.28
023AC2					2007.06.28
023B74	023B7B	PTR	N	Pointers to unknown overworld routines	2007.06.28
023B7C					2007.06.28
023B84	023B8B	PTR	N	Pointers to unknown overworld routines	2007.06.28
023B8C					2007.06.28
0243D7	0243DB	CODE	N	Routines set Epoch flying bit 40 in 7E0294	2007.06.28
0243DC	0243DD	CODE	N	Unknown Epoch routines	2007.06.28
0243DE	0243E4	CODE	N	Routines check Epoch status	2007.06.28
0243E5	0243FE	CODE	N	Routines used for standard Epoch (enter time gauge menu)	2007.06.28
0243FF	024406	CODE	N	Routines used for upgraded Epoch	2007.06.28
024407					2007.06.28
0244D1	0244D5	CODE	N	Routines check if time gauge button pressed while on Epoch	2007.06.28
0244D6	0244D8	CODE	N	Time gauge button pressed	2007.06.28
0244D9	0244DD	CODE	N	Routines check if menu button pressed while flying Epoch	2007.06.28
0244DE	0244E0	CODE	N	Menu button pressed	2007.06.28
0244E1	0244E5	CODE	N	Routines check if Select button pressed while flying Epoch	2007.06.28
0244E6	0244E8	CODE	N	Select button pressed	2007.06.28
0244E9					2007.06.28
024510	024518	CODE	N	Routines check if Epoch can activate Black Omen exit	2007.06.28
024519	02451C	CODE	N	Routines check bit 04 in 7E0294 (unknown purpose)	2007.06.28
02451D	02452E	CODE	N	Routines used for boarding Black Omen from flying Epoch	2007.06.28
02452F					2007.06.28
0245B3	0245BC	CODE	N	Routines ready 7E027C overworld action (06) while on Epoch	2007.06.28
0245BD	0245C6	CODE	N	Routines ready 7E027C overworld action (05) while on Epoch	2007.06.28
0245C7	0245E2	CODE	N	Routines ready 7E027C overworld action (08) while on Epoch	2007.06.28
0245E3					2007.06.28
024A06	024A09	CODE	N	Routines determine if Epoch is on Black omen exit	2007.06.28
024A0A	024A0E	CODE	N	Routines used for setting Black Omen exit bit 08 at 7E0294	2007.06.28
024A0F	024A0F	CODE	N	Routines used for loading Black Omen exit string index	2007.06.28
024A10	024A10	DATA	N	String index for Black Omen exit ($4C Black Omen)	2007.06.28
024A11	024A13	CODE	N	Routines used for storing Black Omen exit string index	2007.06.28
024A14	024A1A	CODE	N	Unknown routines used Epoch is flying over Black Omen exit	2007.06.28
024A1B	024A29	CODE	N	Routines used when Epoch is not on Black Omen exit	2007.06.28
024A2A	024A3B	CODE	N	"Unknown Epoch routines, used twice when boarding"	2007.06.28
024A3C	024A42	CODE	N	Routines determine what music to play using Epoch status	2007.06.28
024A43	024A43	CODE	N	Routines load song to use while flying Epoch	2007.06.28
024A44	024A44	DATA	N	Song used for hovercraft Epoch ($13 Wings that Cross Time)	2007.06.28
024A45	024A46	CODE	N	Routines for song to use while flying Epoch	2007.06.28
024A47	024A47	CODE	N	Routines load song to use while flying Epoch	2007.06.28
024A48	024A48	DATA	N	Song used for upgraded Epoch ($13 Wings that Cross Time)	2007.06.28
024A49	024A4B	CODE	N	Routines for storing song index	2007.06.28
024A4C					2007.06.28
024A51	024A57	CODE	N	Routines copy currently playing song within memory	2007.06.28
024A58					2007.06.28
024DE8	024DEF	CODE	N	Routines check if menu button pressed while riding Dactyl	2007.06.28
024DF0	024DF2	CODE	N	Menu button pressed	2007.06.28
024DF3	024DF7	CODE	N	Routines check if Select button pressed while riding Dactyl	2007.06.28
024DF8	024DFA	CODE	N	Select button pressed	2007.06.28
024DFB					2007.06.28
024E64	024E64	DATA	N	Dactyl NLZ (right X coord)	2007.06.28
024E65					2007.06.28
024E6A	024E6A	DATA	N	Dactyl NLZ (bottom Y coord)	2007.06.28
024E6B					2007.06.28
024E71	024E74	CODE	N	Routines determine if Dactyl is in NLZ	2007.06.28
024E75	024E77	CODE	N	"Dactyl in NLZ, can't land"	2007.06.28
024E78					2007.06.28
024EBE	024EC7	CODE	N	Routines ready 7E027C overworld action (05) while on Dactyl	2007.06.28
024EC8	024ED1	CODE	N	Routines ready 7E027C overworld action (06) while on Dactyl	2007.06.28
024ED2					2007.06.28
02590C	02594D	PTR	N	Pointers to 00-20 text character routines	2008.02.06
025B0F	025B2F	CODE	N	Text character 1A CronoNick	2008.02.06
025D09	025D19	CODE	N	"Subroutine used for displaying PC, Epoch, CronoNick name"	2008.02.06
025DE2	025DE5	CODE	N	Load main font width value and increment text character counter	2008.07.16
025DE6	025DE6	DATA	N	Default character width	2008.07.16
025DE7	025DEE	CODE	N	Load main font width value and increment text character counter	2008.07.16
026233	026234	CODE	N	Routines load current tile properties	2007.06.28
026235					2007.06.28
0273B8	0273B8	DATA	N	Storyline value for Epoch time gauge 1F4->1F6 overworld map change (Check 1)	2008.02.06
0273D8	0273D8	DATA	N	Storyline value for Epoch time gauge 1F4->1F6 overworld map change (Check 2)	2008.02.06
027D38	027FFF	---	N	UNUSED SPACE (712 bytes)	2007.06.28
028000					2007.06.28
029571	0295B7	CODE	N	"New Game, sets default values in RAM for inventory, etc."	2007.06.28
0295B8	0295CF	CODE	N	Routines clear storyline memory	2007.06.28
0295D0	0295ED	CODE	N	Routines clear 7E0400-7E04FF and 7E2990-7E29AF	2007.06.29
0295EE	029607	CODE	N	"Routines copy data from C2FD85, controller related"	2007.06.29
029608					2007.06.28
02CB64	02CB64	DATA	N	NPC to load on party exchange menu ($48 Gaspar)	2007.06.28
02CB65					2007.06.28
02D460	02D460	CODE	N	Routines load Location Age Name string	2007.06.28
02D461	02D463	PTR	N	Pointer to Location Age Name string data block	2007.06.28
02D464					2007.06.28
02EBF8	02EBF8	DATA	N	Sound to use in menus when moving cursor ($00)	2007.06.28
02EBF9					2007.06.28
02EC02	02EC02	DATA	N	Sound to use in menus for invalid cursor selection ($01)	2007.06.28
02EC03					2007.06.28
02FD85	02FD87	DATA	N	"Default config settings (copied to 7E2990-7E2992, included in save data)"	2007.06.29
02FD88	02FD90	DATA	N	"Default controller settings (copied to 7E0408-7E0410, 7E2993-7E299B, included in save data)"	2007.06.29
02FD91			N		2008.07.10
02FED0	02FEE8	CODE	N	Shop Menu transactions - checks and sets max gold limit $98967F	2008.07.10
02FEE9	02FEEA	PTR	N	"Pointer used by unknown routines, exit menu?"	2008.07.10
02FEEB	02FEEC	JUNK	N	Pointer for routines	2008.07.10
02FEED	02FEFA	CODE	N	"Unknown routines, not valid?"	2008.07.10
02FEFB	02FF25	CODE	N	"Unknown routines, not valid?"	2008.07.10
02FF26	02FF34	CODE	N	"Unknown routines, not valid?"	2008.07.10
02FF35	02FF4E	CODE	N	"Unknown routines, not valid?"	2008.07.10
