Byte Offset	Bytes	Bits	Mode	Description	Modified
7E0125	01	FF	Location	Event Command C8 Special Dialog byte	2007.06.29
7E0126	01	03	Location	"Textbox window position (01 top, 02 bottom)"	2007.06.29
7E0127	01	FF	Location	"Textbox related, possibly a counter for opening/closing a text window"	2007.06.29
7E0128	01	5F	Location	"When entering a location, $5F stored"	2007.06.29
7E0128	01	80	Location	Unknown bit - Event Command FF subroutines?	2007.06.29
7E0129	01	FF	Location	"Textbox related, possibly bits for textbox open/close status"	2007.06.29
7E012A	1	FF	Location	Holds string index for current textbox	2007.02.09
7E012B	3	FF	Location	Event Command B8 StringIndex	2007.02.09
7E0130	01	03	Location	"Stores a value for decision box Event Commands C0 (00), C3, (01) C4 (02)"	2007.06.29
7E0131	01	03	Location	Number of text lines currently displayed (00-03)	2007.06.29
7E0148	02	FF	Location	"$2116, VRAM address"	2008.02.14
7E014A	01	FF	Location	"$43x0, DMA channel number"	2008.02.14
7E014B	02	FF	Location	Holds window background type data obtained from $006EA0-006EAF range	2007.06.29
7E014D	01	FF	Location	"$43x4, DMA"	2008.02.14
7E0150	1	01	Location	Controller 1 Y button pressed	2007.06.29
7E0150	1	04	Location	Controller 1 Select button pressed	2007.06.29
7E0150	1	0A	Location	"Controller 1 B button pressed (Event Command 3B, bit 02)"	2008.02.14
7E0150	1	10	Location	Controller 1 R shoulder button pressed	2007.06.29
7E0150	1	20	Location	Controller 1 L shoulder button pressed	2007.06.29
7E0150	1	40	Location	Controller 1 X button pressed	2007.06.29
7E0150	1	80	Location	Controller 1 A button pressed (Event Command 3C)	2007.06.29
7E0151	1	01	Location	Controller 1 Start button pressed	2007.06.29
7E0151	1	02	Location	Controller 1 Select button pressed	2007.06.29
7E0151	1	04	Location	Controller 1 Y button pressed (Event Command 42)	2007.06.29
7E0151	1	08	Location	Controller 1 B button pressed (Event Command 40)	2007.06.29
7E0151	1	10	Location	Controller 1 R shoulder button pressed (Event Command 44)	2008.02.14
7E0151	1	20	Location	Controller 1 L shoulder button pressed (Event Command 43)	2008.02.14
7E0151	1	40	Location	Controller 1 X button pressed (Event Command 41)	2007.06.29
7E0151	1	80	Location	Controller 1 A button pressed (Event Command 3F)	2007.06.29
7E0152	1	01	Location	Bit set when game is paused	2007.06.29
7E0154	01	04	Location	Event Command 2A - L3 ASCII text related	2008.02.14
7E0154	01	08	Location	Event Command 2B - L3 ASCII text related	2008.02.14
7E0154	01	10	Location	Event Command 32 - L3 ASCII text related	2008.02.14
7E0154	01	E3	Location	"Unknown, various bits set for use with ending credits text, L3 related?"	2008.02.14
7E0155	1	FF	Location	Z-plane	2007.08.15
7E0158	2	FF	Location	Idle time	2007.01.30
7E0163	01	03	Location	Textbox decision box line currently selected	2007.06.29
7E016B	1	FF	Location	"Unknown, always set to 78 on entering new location, set to 80 by Event Command 47"	2007.02.09
7E016D	1	FF	Location	Location Event Current Object ID	2007.01.11
7E0171	02	FF	Location	"Holds starting destination address of next packet to decompress, +7F0000,"	2007.06.29
7E018D	01	FF	Location	Crono object x2	2008.02.14
7E018E	01	FF	Location	Marle object x2	2008.02.14
7E018F	01	FF	Location	Lucca object x2	2008.02.14
7E0190	01	FF	Location	Robo object x2	2008.02.14
7E0191	01	FF	Location	Frog object x2	2008.02.14
7E0192	01	FF	Location	Ayla object x2	2008.02.14
7E0193	01	FF	Location	Magus object x2	2008.02.14
7E0194	01	FF	Location	PC1 index (copied from 7E2980 when loading location)	2007.06.29
7E0195	01	FF	Location	PC2 index (copied from 7E2981 when loading location)	2007.06.29
7E0196	01	FF	Location	PC3 index (copied from 7E2982 when loading location)	2007.06.29
7E0197	1	FF	Location	PC1 Object Num	2007.01.11
7E0199	1	FF	Location	PC2 Object Num	2007.01.11
7E019B	1	FF	Location	PC3 Object Num	2007.01.11
7E01AB	1	FF	Location	PC1 step counter	2007.06.29
7E01AC	1	FF	Location	PC2 step counter	2007.06.29
7E01AD	1	FF	Location	PC3 step counter	2007.06.29
7E01AF	03	FF	Location	"Pointer to pc, npc and enemy graphics pointer table"	2007.06.29
7E01B2	03	FF	Location	Pointer to sprite assembly pointer table	2007.06.29
7E01B5	03	FF	Location	Pointer to animations pointer table	2007.06.29
7E01B8	03	FF	Location	Pointer to unconfirmed animations pointer table	2007.06.29
7E01BD	1	FF	Location	Location Event Total Objects	2007.01.11
7E01C1	01	FF	Location	Jump height (Event Command 7A)	2008.02.14
7E01C7	02	FF	Location	"Pointer in memory of last event command executed? (+7F2000) Used by Event Commands 7A, 7B"	2008.02.14
7E01CD	3	FF	Location	Start address of graphics packet to process	2008.07.17
7E01D9	1	FF	Location	"Temporary values, used for location index and other bits for WarpParty Event Commands, and also used to hold random value obtained from $00FE00-00FEFF data"	2008.07.17
7E01DF	1	FF	Location	Mode7 scene index	2007.02.09
7E01E1	01	FF	Location	Location Event Command 83 LoadEnemy param 2	2008.02.14
7E01F2	01	FF	Location	Jump x coord (Event Command 7A)	2008.02.14
7E01F3	01	FF	Location	Jump y coord (Event Command 7A)	2008.02.14
7E01F4	01	FF	Location	"Location Event Command FE Draw Geometry parameter 1, stored to register $4206"	2008.02.14
7E01F8	1	FF	Location	"Random value (current frame when entering location, copied from 7E0400)"	2008.07.17
7E01FA	1	FF	Location	music to play when battle started	2008.07.17
7E01FB	1	FF	Location	sound to play when treasure chest opened	2008.07.17
7E01FC	1	FF	Location	sound to play when door opened	2008.07.17
7E01FD	01	FF	Location	"In BETA ver., $52 stored, switch sound? unused in final?"	2008.02.14
7E01FE	02	FF	Location	Related to loading location data from 360000-361BFF	2008.02.14
7E0200	06	FF	Location	Holds values to display Value 8 16 24 text commands	2008.02.14
7E020C	1	FF	"Inv, Tech menus"	Currently selected Item/Tech index	2007.08.16
7E020D	3	FF	Location	Current StringIndex	2007.02.09
7E0217	01	FF	Location	Counter for how many text characters have been displayed on the current line	2008.02.14
7E0230	01	FF	Location	"Text character related, used to determine pointer in 025842-025849 range"	2008.02.14
7E0231	03	FF	Location	Text character current location in string	2008.02.14
7E0234	1	FF	Location	Cumulative string spacing measurement	2007.08.24
7E0235	02	FF	Location	Text character to display 7E027C can be assigned Overworld mode	2008.02.14
7E026C	02	FF	Location	"Text character value from 7E0235, x8, then + x2"	2008.02.14
7E0276	03	FF	Location	Text character location in main font	2008.02.14
7E0279	03	FF	Location	Text character location in main font	2008.02.14
7E027C	1	FF	Overworld	Overworld action (see long notes)	2008.07.17
7E027E	01	FF	Overworld	"Status of overworld movement, copied to SRAM"	2008.02.14
7E027F	01	FF	Overworld	"Status of overworld movement, copied to SRAM"	2008.02.14
7E0283	02	FF	Overworld	PC1 X Coord in pixels	2007.06.12
7E0285	02	FF	Overworld	PC1 Y Coord in pixels	2007.06.12
7E0290	2	FF	All	Epoch X Coord in pixels	2007.06.29
7E0292	2	FF	All	Epoch Y Coord in pixels	2007.06.29
7E0294	1	03	All	"PCs boarded Epoch 01 - PC1, 02 - PC2, 03 - PC3"	2007.06.29
7E0294	1	04	All	"Unknown, checked and set when boarding Black Omen from Epoch"	2007.06.29
7E0294	1	08	All	Epoch on Black Omen exit	2007.06.12
7E0294	1	10	All	Time gauge menu accessed while in Epoch	2007.06.12
7E0294	1	20	All	Epoch has been upgraded	2007.06.12
7E0294	1	40	All	Epoch is currently flying	2007.06.12
7E0294	1	80	All	Epoch has been obtained	2007.06.12
7E029A	2	FF	All	Dactyl X Coord in pixels	2007.06.29
7E029C	2	FF	All	Dactyl Y Coord in pixels	2007.06.29
7E029E	1	03	All	"PCs boarded Dactyls 01 - PC1, 02 - PC2, 03 - PC3"	2007.06.29
7E029E	1	1C	All	Unused Dactyl bits?	2007.06.29
7E029E	1	20	All	Dactyls are landing	2007.06.12
7E029E	1	40	All	Dactyls are currently flying	2007.06.12
7E029E	1	80	All	Dactyls obtained	2007.06.12
7E029F	2	FF	All	Epoch Map	2007.06.29
7E02A1	01	FF	Location	"In Location 000 Load Screen, $00 stored, unknown purpose"	2008.02.14
7E02AE	01	FF	Overworld	Currently playing song (copied from 7E29AE)	2007.06.12
7E0300	3	FF	All	Start address of packet currently being decompressed	2007.02.09
7E0303	03	FF	All	Start address in RAM to decompress packet to	2007.06.29
7E0306	02	FF	All	Size of decompressed packet (checked on location event startup)	2007.06.29
7E0380	01	01	Mode 7	Jet Bike Race Won	2008.02.14
7E0380	01	02	Mode 7	Jet Bike Race Lost	2008.02.14
7E0381	01	FF	Mode7	Jet Bike Race unknown setting	2008.02.14
7E0382	01	FF	Mode7	"Temp value: 1. Index for Attract Mode credit screen to display, range $00-05 2. Jet Bike"	2008.02.14
7E0383	01	FF	Mode7	Jet Bike Race High Score byte 2	2008.02.14
7E0400	7	FF	All	"Gametime in digits, 0 . Frames (max 60), 1 . Seconds (max 60), 2 . Minutes (max 10), 3 . Ten Minutes (max 6), 4 . Hours (max 10), 5 . Ten Hours (max 10), 6 . Hundred Hours (max 1)"	2007.02.09
7E0407	01	FF	All	"When set to $FF (ex: game paused), 7E0400-7E0406 game clock stopped"	2007.06.29
7E0408	09	FF	All	"Controller data - unknown purpose, backup of 7E2993-7E299B data?"	2007.06.29
7E0411	01	FF	Main menu	Currently selected menu (range 00-05)	2007.06.29
7E0412	01	FF	Equip menu	Currently selected PC slot	2007.06.29
7E0413	01	FF	Equip menu	Currently selected reserve PC slot	2007.06.29
7E0414	01	FF	Save Menu	Last slot saved to (copied to 7E0079 and 7E007F)	2007.08.16
7E0415	01	FF	Inventory	Currently selected slot (page 1)	2007.06.29
7E0416	01	FF	Inventory	Currently selected slot (page 2 and beyond)	2007.06.29
7E0417	01	FF	Config menu	Currently selected config option (range 00-09)	2007.06.29
7E0418	01	FF	Tech menu	Tech type selected (range 00-02)	2007.06.29
7E0419	01	FF	Tech menu	Currently selected PC slot byte 1	2007.06.29
7E041A	01	FF	Tech menu	Currently selected PC slot byte 2	2007.06.29
7E041F	01	10	Load menu	Controller 2 R shoulder button	2007.06.29
7E041F	01	20	Load menu	Controller 2 L shoulder button	2007.06.29
7E041F	1	40	Load menu	Controller 2 X button	2007.06.29
7E041F	1	80	Load menu	Controller 2 A button	2007.06.29
7E0420	1	01	Load menu	Controller 2 right	2007.06.29
7E0420	1	02	Load menu	Controller 2 down	2007.06.29
7E0420	1	04	Load menu	Controller 2 left	2007.06.29
7E0420	1	08	Load menu	Controller 2 up	2007.06.29
7E0420	01	10	Load menu	Controller 2 Start button	2007.06.29
7E0420	01	20	Load menu	Controller 2 Select button	2007.06.29
7E0420	1	40	Load menu	Controller 2 Y button	2007.06.29
7E0420	1	80	Load menu	Controller 2 B button	2007.06.29
7E0520	9	FF	Location	Location Event Loaded Sprites	2007.08.15
7E0A00	01	FF	Menu	Holds index of menu to load	2007.06.29
7E0A20	10	FF	Overworld	"Epoch, Year box, Location name palette A"	2008.02.14
7E0A30	10	FF	Overworld	"Epoch, Year box, Location name palette B"	2008.02.14
7E0A60	10	FF	Overworld	Ferry palette A (1000 AD)	2008.02.14
7E0A70	10	FF	Overworld	Ferry palette B (1000 AD)	2008.02.14
7E0A80	10	FF	Overworld	Vortex palette (1000AD)	2008.02.14
7E0AA0	10	FF	Overworld	PC1 palette	2008.02.14
7E0AB0	10	FF	Overworld	Dactyl 1 palette (65m BC)	2008.02.14
7E0AC0	10	FF	Overworld	PC2 palette	2008.02.14
7E0AD0	10	FF	Overworld	"Dactyl 2 palette (65m BC), Birds (1000 AD)"	2008.02.14
7E0AE0	10	FF	Overworld	PC3 palette	2008.02.14
7E0AF0	10	FF	Overworld	Dactyl 3 palette (65m BC)	2008.02.14
7E0B40	0180	FF	Battle	Unknown data copied from 115800-11597F	2008.02.14
7E0BE1	02	FF	Location	Counter for ASCII credits text character to display (+FDA000)	2008.02.14
7E0BE3	01	FF	Location	Location Event Command 2F Param 1	2008.02.14
7E0BE4	01	FF	Location	Location Event Command 2F Param 2	2008.02.14
7E0BE5	02	FF	Location	ASCII text $2116 VRAM address	2008.02.14
7E0BE7	02	FF	Location	ASCII text $4375 DMA bytes to transfer ($003C)	2008.02.14
7E0D00	01	FF	Menus	Random number value for menus?	2007.08.16
7E0F00	80	00FF	Location	Object draw status (and possibly other bit settings)	2007.08.15
7E0F00	05	FF	Name menu	Current name	2008.02.14
7E0F00	80	FF00	Location	Object current animation frame	2007.08.15
7E0F06	01	FF	Name nenu	Current spot on character name	2008.02.14
7E0F08	01	FF	Name menu	"Index on current row ($00-09), copied from 7E0051"	2008.02.14
7E0F09	01	FF	Name menu	Index of current row ($00-07)	2008.02.14
7E0F0B	01	FF	Name menu	"Unknown #$53 stored, and increases by 0x10 for each row going down"	2008.02.14
7E0F0C	02	FF	Name menu	Pointer to name start address in memory (+7E0000)	2008.02.14
7E0F81	1	FF	Location	Object Palette Number (Current Object?)	2007.08.15
7E1000	80	007F	Location	Unknown	2007.08.15
7E1000	80	0080	Location	Object script processing on	2007.08.15
7E1000	80	FF00	Location	Unknown	2007.08.15
7E1100	7E	00FF	Location	Object type	2007.08.15
7E1100	7E	FF00	Location	Object LoadPC/NPC/Enemy index	2007.08.15
7E1200	80	00FF	Location	Object pointer to PC/NPC Enemy graphics (bank)	2007.08.15
7E1200	80	FF00	Location	Sprite size value from 24F000 sprite data	2007.08.15
7E1280	80	FF	Location	Object pointer to PC/NPC Enemy graphics (2 bytes)	2007.08.15
7E1300	80	00FF	Location	Object pointer to sprite assembly (bank)	2007.08.15
7E1300	80	FF00	Location	Unknown	2007.08.15
7E1380	80	FF	Location	Object pointer to sprite assembly (2 bytes)	2007.02.09
7E1400	80	FF	Location	Object palette pointers (local pointers to bank E4)	2011.03.01
7E1480	80	FF	Location	Object animation count?	2011.03.01
7E1500	80	FF	Location	Object animation pointers (local pointers to bank E4)	2011.03.01
7E1580	80	FF	Location	Object unconfirmed animation data (local pointers to bank E4)	2011.03.01
7E1600	???	FF	Location	Object facing	2007.08.15
7E1801	???	FF	Location	Object X Coord	2007.08.15
7E1881	???	FF	Location	Object Y Coord	2007.08.15
7E1A00	1	FF	Location	Object speed (current object only?)	2007.08.15
7E1A01	1	FF	Location	Object movement length	2007.08.15
7E1A80	80	00FF	Location	"Event Command 7A, 7B jump in progress related"	2008.02.14
7E1A80	80	FF00	Location	"Event Command 7B Param 4, also used by Event Command 7A"	2008.02.14
7E1A81	???	FF	Location	Object drawing mode	2007.08.15
7E1B00	80	00FF	Location	Object unknown	2007.08.15
7E1B00	80	FF00	Location	Object solidity props. (Event Command 84)	2007.08.15
7E1B58	1	FF	Overworld	Index of location name on overworld map	2007.01.11
7E1B80	80	00FF	Location	"Event Command 7A, 7B jump in progress related"	2008.02.14
7E1B80	80	FF00	Location	"Unknown, Event Command 7B Param 3, Event Command 7A Param 3"	2008.02.14
7E1B9B	8	FF	Overworld	Overworld music	2007.06.29
7E1BA3	01	FF	Overworld?	PC1 index (copied from 7E2980)	2007.08.16
7E1BA4	01	FF	Overworld?	PC2 index (copied from 7E2981)	2007.08.16
7E1BA5	01	FF	Overworld?	PC3 index (copied from 7E2982)	2007.08.16
7E1BA6	1	FF	Overworld	Overworld storyline counter (only during event processing)	2007.06.29
7E1BA7	1	01	Overworld	Vortex Point active	2007.06.29
7E1BA7	1	02	Overworld	Fiona's Forest revived	2007.06.29
7E1BA7	1	04	Overworld	Ferry departs from Truce	2007.06.29
7E1BA7	1	08	Overworld	Ferry departs from Porre	2007.06.29
7E1BA7	1	10	Overworld	Computer locates Proto Dome	2007.06.29
7E1BA7	1	20	Overworld	Record of Day of Lavos	2007.06.29
7E1BA7	1	80	Overworld	Robo carried from Factory Ruins	2007.06.29
7E1BA8	1	02	Overworld	Lavos erupting (Apocalypse)	2007.06.29
7E1BA8	1	04	Overworld	Lavos rains destruction from the heavens	2007.06.29
7E1BA8	1	08	Overworld	Black Omen rises	2007.06.29
7E1BA8	1	10	Overworld	Porre's mayor has Sunstone	2007.06.29
7E1BA8	1	20	Overworld	Lavos meteor crashes	2007.06.29
7E1BA8	1	40	Overworld	Teleport to Ocean Palace	2007.06.29
7E1BA9	1	01	Overworld	Walk up Mt. Woe chain	2007.06.29
7E1BA9	1	02	Overworld	Walk down Mt. Woe chain	2007.06.29
7E1BA9	1	40	Overworld	Attract mode Lavos erupting	2007.06.29
7E1BA9	1	80	Overworld	Attract Mode Kingdom of Zeal map scroll	2007.06.29
7E1BAA	1	01	Overworld	Robo carried into Proto Dome	2007.06.29
7E1BAA	1	02	Overworld	Mt. Woe falls	2007.06.29
7E1BAA	1	04	Overworld	Attract mode Epoch time warp	2007.06.29
7E1BAA	1	08	Overworld	Attract mode Dactyls fly to Tyrano Lair	2007.06.29
7E1BAA	1	20	Overworld	Lavos destroys Kingdom of Zeal	2007.06.29
7E1BAA	1	40	Overworld	Kingdom of Zeal falls	2007.06.29
7E1BAA	1	80	Overworld	Lavos erupts (Dark Ages)	2007.06.29
7E1BAB	1	01	Overworld	Present 3D map	2007.06.29
7E1BAB	1	02	Overworld	Time period selector	2007.06.29
7E1BAB	1	04	Overworld	Kingdom of Zeal exploding and falling	2007.06.29
7E1BAB	1	08	Overworld	Time period selector	2007.06.29
7E1BAB	1	10	Overworld	Lavos erupting (Epoch parked)	2007.06.29
7E1BAB	1	20	Overworld	Medina sidequest complete	2007.06.29
7E1BAC	1	02	Overworld	Time period selector	2007.06.29
7E1BAC	1	04	Overworld	Skyway to Enhasa - West (up)	2007.06.29
7E1BAC	1	08	Overworld	Skyway to Enhasa - West (down)	2007.06.29
7E1BAC	1	10	Overworld	Skyway to Enhasa - North (up)	2007.06.29
7E1BAC	1	20	Overworld	Skyway to Enhasa - North (down)	2007.06.29
7E1BAC	1	40	Overworld	Skyway to Zeal (up)	2007.06.29
7E1BAC	1	80	Overworld	Skyway to Zeal (down)	2007.06.29
7E1BAD	1	02	Overworld	Last Village scrolling map (unused?)	2007.06.29
7E1BAD	1	04	Overworld	Black Omen floating	2007.06.29
7E1BAD	1	08	Overworld	Black Omen gaining power	2007.06.29
7E1BAD	1	10	Overworld	Black Omen destruction	2007.06.29
7E1BAD	1	20	Overworld	Lavos erupting (Last Village)	2007.06.29
7E1BAD	1	40	Overworld	Map focuses on North Palace	2007.06.29
7E1BAE	1	01	Overworld	Map focuses on Sun Keep (Kingdom of Zeal)	2007.06.29
7E1BAE	01	02	Overworld	Black Omen has appeared	2007.06.29
7E1BAE	1	20	Overworld	Map scrolls to Keeper's Dome	2007.06.29
7E1BAE	1	80	Overworld	Map focuses on Geno Dome	2007.06.29
7E1BAF	1	04	Overworld	Map focuses on Sun Palace (Prehistoric)	2007.06.29
7E1BF7	01	FF	Overworld	Year box timer	2008.02.14
7E1C00	80	00FF	Location	Object priority	2007.08.15
7E1C00	80	FF00	Location	Object activate status (Event Command 08/09)	2007.08.15
7E1C80	80	00FF	Location	Object move props. (Event Command 0D)	2007.08.15
7E1C80	80	FF00	Location	Object tile position props. (Event Command 0E)	2007.08.15
7E1D1A	4	FF		Scroll Mask values	2006.12.20
7E1D1E	6	FF		"Layer Size values (1, 2, 3), (H, W)"	2006.12.20
7E1D24	6	FF		Layer Scrolling values	2006.12.20
7E1D3F	01	FF	Location	Event Command 2C stores zero when executed	2008.02.14
7E1D40	01	FF	Location	Event Command 2C stores zero when executed	2008.02.14
7E1D8F	02	FF	Location	Event Command 2C Param 1 - x coord for L3 ASCII text?	2008.02.14
7E1D91	02	FF	Location	Event Command 2C Param 2 - y coord or counter for L3 ASCII text?	2008.02.14
7E1D92	01	FF	Location	Event Command 2C stores zero when executed	2008.02.14
7E21A0	18	FF	Location	PC1 palette	2011.03.01
7E21C0	18	FF	Location	PC2 palette	2011.03.01
7E21E0	18	FF	Location	PC3 palette	2011.03.01
7E235A	06	FF	Battle	Unknown 6 byte data copied from 1138F2-1138F7	2008.02.14
7E237A	06	FF	Battle	Unknown 6 byte data copied from 1138FA-1138FF	2008.02.14
7E23A0	18	FF	Location	PC1 battle palette	2011.03.01
7E23BA	06	FF	Battle	PC1 weapon palette	2007.08.16
7E23C0	18	FF	Location	PC2 battle palette	2011.03.01
7E23DA	06	FF	Battle	PC2 weapon palette	2007.08.16
7E23E0	18	FF	Location	PC3 battle palette	2011.03.01
7E23FA	06	FF	Battle	PC3 weapon palette	2007.08.16
7E2400	F2	FF	All	Inventory item	2007.06.12
7E24F2	0E	FF	All	Inventory item UNUSED SPACE	2007.06.12
7E2500	F2	FF	All	Inventory quantity	2007.06.12
7E25F2	0E	FF	All	Inventory quantity UNUSED SPACE	2007.06.12
7E2600	1	FF	All	Crono Portrait	2007.01.11
7E2603	2	FF	All	Crono current HP	2007.01.11
7E2605	2	FF	All	Crono max HP	2007.01.11
7E2607	2	FF	All	Crono current MP	2007.01.11
7E2609	2	FF	All	Crono max MP	2007.01.11
7E260B	1	FF	All	Crono power	2007.01.11
7E260C	1	FF	All	Crono stamina	2007.01.11
7E260D	1	FF	All	Crono speed	2007.01.11
7E260E	1	FF	All	Crono magic	2007.01.11
7E260F	1	FF	All	Crono hit	2007.01.11
7E2610	1	FF	All	Crono evade	2007.01.11
7E2611	1	FF	All	Crono magic defense	2007.01.11
7E2612	1	FF	All	Crono Level	2007.01.11
7E2613	3	FF	All	Crono XP	2007.01.11
7E2627	1	FF	All	Crono Helmet Equipped	2007.01.11
7E2628	1	FF	All	Crono Armor Equipped	2007.01.11
7E2629	1	FF	All	Crono Weapon Equipped	2007.01.11
7E262A	1	FF	All	Crono Accessory Equipped	2007.01.11
7E262B	2	FF	All	Crono Exp Next	2007.01.11
7E262D	2	FF	All	Crono Skill Points Needed To Gain Next Tech	2007.01.11
7E2650	50	FF	All	Marle's Data	2007.06.12
7E26A0	50	FF	All	Lucca's Data	2007.06.12
7E26F0	50	FF	All	Robo's Data	2007.06.12
7E2740	50	FF	All	Frog's Data	2007.06.12
7E2790	50	FF	All	Ayla's Data	2007.06.12
7E27E0	50	FF	All	Magus's Data	2007.06.12
7E2830	07	FF	All	Tech to learn next (1 byte per PC)	2007.06.12
7E2837	07	FF	All	Single Techs learned (1 byte per PC)	2007.06.12
7E283E	01	E0	All	Crono Marle Double Techs learned	2007.06.12
7E283F	01	E0	All	Crono Lucca Double Techs learned	2007.06.12
7E2840	01	E0	All	Crono Robo Double Techs learned	2007.06.12
