FirstByte	LastByte	Type	Compressed	Description	Modified
02D1CE	02D1CE	CODE	N	Routines load Location Age Name string	2007.06.28
02D1CF	02D1D1	PTR	N	Pointer to Location Age Name string data block	2007.06.28
02D1D2					2007.06.28
02E863	02E869	DATA	N	Data (1 byte) related to menu portrait loaded (7 total)	2007.06.28
02E86A					2007.06.28
02E86B	02E878	PTR	N	Pointers to PC menu portrait palettes	2007.06.28
02E879					2007.06.28
031800	031912	GFX	Y	Compressed Data (Mode 7?) - partial font	2007.06.28
031913	031A25	???	Y	Compressed Data (Mode 7?)	2007.06.28
031A26	035060	???	Y	Compressed Data (Mode 7?)	2007.06.28
035061	037FFF	---	N	UNUSED SPACE (12191 bytes)	2007.06.28
038000					2007.06.28
038200	038D73	GFX	Y	Epoch time gauge menu graphics	2007.06.28
038D74	038EC4	???	Y	Unknown compressed packet used by Epoch time gauge menu	2007.06.28
038EC5	039277	???	Y	Unknown compressed packet used by Epoch time gauge menu	2007.06.28
039278	039688	???	Y	Unknown compressed packet used by Epoch time gauge menu	2007.06.28
039689	03983B	DATA	Y	(00) Overworld Exit Data	2007.06.28
03983C	0399C6	DATA	Y	(01) Overworld Exit Data	2007.06.28
0399C7	039A59	DATA	Y	(02) Overworld Exit Data	2007.06.28
039A5A	039AF3	DATA	Y	(03) Overworld Exit Data	2007.06.28
039AF4	039B2B	DATA	Y	(04) Overworld Exit Data	2007.06.28
039B2C	039B8E	DATA	Y	(05) Overworld Exit Data	2007.06.28
039B8F	039BA7	DATA	Y	(06) Overworld Exit Data	2007.06.28
039BA8	039BB9	DATA	Y	(07) Overworld Exit Data	2007.06.28
039BBA	03A4E8	EVENT	Y	(00) Overworld Events - 1F0 1000 AD Present	2007.06.28
03A4E9	03AA48	EVENT	Y	(01) Overworld Events - 1F1 600 AD Middle Ages	2007.06.28
03AA49	03AE2A	EVENT	Y	(02) Overworld Events - 1F2 2300 AD Future	2007.06.28
03AE2B	03B3ED	EVENT	Y	(03) Overworld Events - 1F3 65000000 BC Prehistoric	2007.06.28
03B3EE	03BAD7	EVENT	Y	(04) Overworld Events - 1F4 12000 BC Dark Ages	2007.06.28
03BAD8	03BFB4	EVENT	Y	(05) Overworld Events - 1F5 12000 BC Zeal	2007.06.28
03BFB5	03C10E	EVENT	Y	(06) Overworld Events - 1F6 12000 BC Last Village	2007.06.28
03C10F	03C66E	EVENT	Y	(07) Overworld Events - 1F7 1999 AD Apocalypse	2007.06.28
03C66F	03C714	PAL	Y	(00) Overworld Palettes	2007.06.28
03C715	03C782	PAL	Y	(01) Overworld Palettes	2007.06.28
03C783	03C952	PAL	Y	(02) Overworld Palettes	2007.06.28
03C953	03CAAA	PAL	Y	(03) Overworld Palettes	2007.06.28
03CAAB	03CC23	PAL	Y	(04) Overworld Palettes	2007.06.28
03CC24	03CD90	PAL	Y	(05) Overworld Palettes	2007.06.28
03CD91	03CF0E	PAL	Y	(06) Overworld Palettes	2007.06.28
03CF0D	03D053	PAL	Y	(07) Overworld Palettes	2007.06.28
03D054	03D20A	PAL	Y	(08) Overworld Palettes	2007.06.28
03D20B	03D2AE	PAL	Y	(09) Overworld Palettes	2007.06.28
03D2AF	03D352	PAL	Y	(0A) Overworld Palettes	2007.06.28
03D353	03D3CB	PAL	Y	(0B) Overworld Palettes	2007.06.28
03D3CC	03D420	PAL	Y	(0C) Overworld Palettes	2007.06.28
03D421	03D492	PAL	Y	(0D) Overworld Palettes	2007.06.28
03D493	03D658	PAL	Y	(0E) Overworld Palettes	2007.06.28
03D659	03D6E4	PAL	Y	(0F) Overworld Palettes	2007.06.28
03D6E5	03DFFF	---	N	UNUSED SPACE (2331 bytes)	2007.06.28
03E000					2007.06.28
040000	040EB0	GFX	Y	(00) Overworld Tiles	2007.06.28
040EB1	041D26	GFX	Y	(01) Overworld Tiles	2007.06.28
041D27	042C0E	GFX	Y	(02) Overworld Tiles	2007.06.28
042C0F	043A76	GFX	Y	(03) Overworld Tiles	2007.06.28
043A77	04480F	GFX	Y	(04) Overworld Tiles	2007.06.28
044810	04557F	GFX	Y	(05) Overworld Tiles	2007.06.28
045580	0463D6	GFX	Y	(06) Overworld Tiles	2007.06.28
0463D7	047275	GFX	Y	(07) Overworld Tiles	2007.06.28
047276	048002	GFX	Y	(08) Overworld Tiles	2007.06.28
048003	048BFA	GFX	Y	(09) Overworld Tiles	2007.06.28
048BFB	048DE6	GFX	Y	(0A) Overworld Tiles	2007.06.28
048DE7	049DF8	GFX	Y	(0B) Overworld Tiles	2007.06.28
049DF9	04AD09	GFX	Y	(0C) Overworld Tiles	2007.06.28
04AD0A	04BCFC	GFX	Y	(0D) Overworld Tiles	2007.06.28
04BCFD	04C6B7	GFX	Y	(0E) Overworld Tiles	2007.06.28
04C6B8	04D3B2	GFX	Y	(0F) Overworld Tiles	2007.06.28
04D3B3	04D8F8	GFX	Y	(10) Overworld Tiles	2007.06.28
04D8F9	04DAE4	GFX	Y	(11) Overworld Tiles	2007.06.28
04DAE5	04E846	GFX	Y	(12) Overworld Tiles	2007.06.28
04E847	04D761	GFX	Y	(13) Overworld Tiles	2007.06.28
04F762	04FD24	GFX	Y	(14) Overworld Tiles	2007.06.28
04FD25	04FFFF	---	N	UNUSED SPACE (731 bytes)	2007.06.28
050000	050F38	GFX	Y	(15) Overworld Tiles	2007.06.28
050F39	051E2B	GFX	Y	(16) Overworld Tiles	2007.06.28
051E2C	052E28	GFX	Y	(17) Overworld Tiles	2007.06.28
052E29	053CDA	GFX	Y	(18) Overworld Tiles	2007.06.28
053CDB	054AAC	GFX	Y	(19) Overworld Tiles	2007.06.28
054AAD	055A59	GFX	Y	(1A) Overworld Tiles	2007.06.28
055A5A	0568E4	GFX	Y	(1B) Overworld Tiles	2007.06.28
0568E5	05777D	GFX	Y	(1C) Overworld Tiles	2007.06.28
05777E	058629	GFX	Y	(1D) Overworld Tiles	2007.06.28
05862A	059045	GFX	Y	(1E) Overworld Tiles	2007.06.28
059046	059231	GFX	Y	(1F) Overworld Tiles	2007.06.28
059232	059ACE	GFX	Y	(20) Overworld Tiles	2007.06.28
059ACF	059B1F	GFX	Y	(21) Overworld Tiles	2007.06.28
059B20	059B83	GFX	Y	(22) Overworld Tiles	2007.06.28
059B84	059DD3	GFX	Y	(23) Overworld Tiles	2007.06.28
059DD4	05A182	GFX	Y	(24) Overworld Tiles	2007.06.28
05A183	05A531	GFX	Y	(25) Overworld Tiles	2007.06.28
05A532	05BBB2	GFX	Y	(00) Overworld Sprites - PCs and unknown soldier	2007.06.28
05BBB3	05C2D2	GFX	Y	(01) Overworld Sprites - Epoch	2007.06.28
05C2D3	05D113	GFX	Y	(02) Overworld Sprites - Lavos	2007.06.28
05D114	05D989	GFX	Y	"(03) Overworld Sprites - Ferry, vortex, balloons, misc."	2007.06.28
05D98A	05DBFD	GFX	Y	(04) Overworld Sprites - Smoke trail	2007.06.28
05DBFE	05DE03	GFX	Y	(05) Overworld Sprites - Placeholder graphics	2007.06.28
05DE04	05E44F	GFX	Y	"(06) Overworld Sprites - Year boxes, seagulls, misc."	2007.06.28
05E450	05EE07	GFX	Y	"(07) Overworld Sprites - Magus Castle, bats, Robo working"	2007.06.28
05EE08	05EFF3	GFX	Y	(08) Overworld Sprites - empty packet?	2007.06.28
05EFF4	05F644	GFX	Y	(09) Overworld Sprites - Dactyl	2007.06.28
05F645	05FC82	GFX	Y	"(0A) Overworld Sprites - Mt. Woe bottom, Blackbird, misc."	2007.06.28
05FC83	05FFFF	---	N	UNUSED SPACE (893 bytes)	2007.06.28
060000	060CC1	GFX	Y	"(0B) Overworld Sprites - Mt. Woe top, Black Omen"	2007.06.28
060CC2	061FFF	---	N	UNUSED SPACE (4926 bytes)	2007.06.28
062000	062D24	TASM	Y	(00) Overworld L12 Tile Assembly	2007.06.28
062D25	06376A	TASM	Y	(01) Overworld L12 Tile Assembly	2007.06.28
06376B	0641D8	TASM	Y	(02) Overworld L12 Tile Assembly	2007.06.28
0641D9	064BF7	TASM	Y	(03) Overworld L12 Tile Assembly	2007.06.28
064BF8	0655A3	TASM	Y	(04) Overworld L12 Tile Assembly	2007.06.28
0655A4	065F1B	TASM	Y	(05) Overworld L12 Tile Assembly	2007.06.28
065F1C	066E78	MAP	Y	(00) Overworld Map - 1F0 1000 AD Present	2007.06.28
066E79	067E4B	MAP	Y	(01) Overworld Map - 1F1 600 AD Middle Ages	2007.06.28
067E4C	068620	MAP	Y	(02) Overworld Map - 1F7 1999 AD Apocalypse	2007.06.28
068621	068FE9	MAP	Y	(03) Overworld Map - 1F2 2300 AD Future	2007.06.28
068FEA	06A049	MAP	Y	(04) Overworld Map - 1F3 65000000 BC Prehistoric	2007.06.28
06A04A	06AE8E	MAP	Y	(05) Overworld Map - 1F4 12000 BC Dark Ages	2007.06.28
06AE8F	06B52B	MAP	Y	(06) Overworld Map - 1F6 12000 BC Last Village	2007.06.28
06B52C	06B9C6	MAP	Y	(07) Overworld Map - 1F5 12000 BC Zeal	2007.06.28
06B9C7	06BB63	TASM	Y	(00) Overworld L3 Tile Assembly	2007.06.28
06BB64	06BDDA	TASM	Y	(01) Overworld L3 Tile Assembly	2007.06.28
06BDDB	06BEEE	TASM	Y	(02) Overworld L3 Tile Assembly	2007.06.28
06BEEF	06C141	TASM	Y	(03) Overworld L3 Tile Assembly	2007.06.28
06C142	06C2DE	TASM	Y	(04) Overworld L3 Tile Assembly	2007.06.28
06C2DF	06C62C	TASM	Y	(05) Overworld L3 Tile Assembly	2007.06.28
06C62D	06C749	DATA	Y	(00) Overworld Tile Properties	2007.06.28
06C74A	06C85E	DATA	Y	(01) Overworld Tile Properties	2007.06.28
06C85F	06C972	DATA	Y	(02) Overworld Tile Properties	2007.06.28
06C973	06CA30	DATA	Y	(03) Overworld Tile Properties	2007.06.28
06CA31	06CB23	DATA	Y	(04) Overworld Tile Properties	2007.06.28
06CB24	06CBD6	DATA	Y	(05) Overworld Tile Properties	2007.06.28
06CBD7	06CC94	DATA	Y	(06) Overworld Tile Properties	2007.06.28
06CC95	06CD95	DATA	Y	(07) Overworld Tile Properties	2007.06.28
06CD96	06CE7E	DATA	Y	(00) Overworld Music Data	2007.06.28
06CE7F	06CF47	DATA	Y	(01) Overworld Music Data	2007.06.28
06CF48	06D010	DATA	Y	(02) Overworld Music Data	2007.06.28
06D011	06D0D9	DATA	Y	(03) Overworld Music Data	2007.06.28
06D0DA	06D1A2	DATA	Y	(04) Overworld Music Data	2007.06.28
06D1A3	06D26B	DATA	Y	(05) Overworld Music Data	2007.06.28
06D26C	06D334	DATA	Y	(06) Overworld Music Data	2007.06.28
06D335	06D3FD	DATA	Y	(07) Overworld Music Data	2007.06.28
06D3FE	06DFFF	---	N	UNUSED SPACE (3074 bytes)	2007.06.28
06E000					2007.06.28
06F000	06F277	TXT	N	Location Names (09=End string)	2007.06.28
06F278	06F2BD	TXT	N	Years Text (09=End string)	2007.06.28
06F2BE	06F3FF	---	N	UNUSED SPACE (322 bytes)	2007.06.28
06F400	06F4D3	PTR	N	Pointers to Location Names (106 strings)	2007.06.28
06F4D4	06F4DF	PTR	N	Pointers to Years Text (6 strings)	2007.06.28
06F4E0	06FCFF	---	N	UNUSED SPACE (2080 bytes)	2007.06.28
06FD00	06FD0F	PTR	N	Pointers to Overworld Data (8 pointers)	2007.06.28
06FD10	06FDEF	DATA	N	Overworld Data (23 bytes each)	2007.06.28
06FDF0	06FE1F	PTR	N	Pointers to Overworld Sprites (first at 05A532)	2007.06.28
06FE20	06FE9F	PTR	N	Pointers to Overworld Tiles (first at 040000)	2007.06.28
06FEA0	06FEFF	PTR	N	Pointers to Overworld Palettes (first at 03C66F)	2007.06.28
06FF00	06FF1F	PTR	N	Pointers to Overworld L12 Tile Assembly (first at 062000)	2007.06.28
06FF20	06FF3F	PTR	N	Pointers to Overworld Maps (first at 065F1C)	2007.06.28
06FF40	06FF7F	PTR	N	Pointers to Overworld L3 Tile Assembly (first at 06B9C7)	2007.06.28
06FF80	06FF9F	PTR	N	Pointers to Overworld Tile Properties (first at 06C62D)	2007.06.28
06FFA0	06FFBF	PTR	N	Pointers to Overworld Music Data (first at 06CD96)	2007.06.28
06FFC0	06FFDF	PTR	N	Pointers to Overworld Exit Data (first at 039689)	2007.06.28
06FFE0	06FFFF	PTR	N	Pointers to Overworld Events (first at 039BBA)	2007.06.28
070000					2007.06.28
070852	070853	DATA	N	Length of packet to follow	2007.06.28
070854	07241C	DATA	N	Unknown packet	2007.06.28
07241D	07241E	DATA	N	Length of packet to follow	2007.06.28
07241F	07261F	DATA	N	Unknown packet	2007.06.28
072620	072621	DATA	N	Length of packet to follow	2007.06.28
072622	072645	DATA	N	Unknown packet	2007.06.28
072646	072647	DATA	N	Length of packet to follow	2007.06.28
072648	07265B	DATA	N	Unknown packet	2007.06.28
07265C	07265D	DATA	N	Length of packet to follow	2007.06.28
07265E	072671	DATA	N	Unknown packet	2007.06.28
072672	072673	DATA	N	Length of Sound Effect packet to follow	2007.06.28
072674	072A73	PTR	N	"Pointers (ARAM) to Sound Effects, 2 pointers each"	2007.06.28
072A74	073E73	DATA	N	Sound Effects	2007.06.28
073E74	073E75	DATA	N	Length of Sound Effect packet to follow	2007.06.28
073E76	074275	PTR	N	"Pointers (ARAM) to Battle Sound Effects, 2 pointers each"	2007.06.28
074276	075675	DATA	N	Battle Sound Effects	2007.06.28
075676	075676	DATA	N	Total number of songs ($46)	2007.06.28
075677	075736	PTR	N	Pointers to BRR (64 addresses)	2007.06.28
075737					2007.06.28
0758B7	075988	PTR	N	Pointers to SPC	2007.06.28
075989	076248	DATA	N	"Instrument Table, 32 bytes each"	2007.06.28
076249					2007.06.28
076CAD	077B4E	BRR	N	(00)	2007.06.28
077B4F	0782F1	BRR	N	(01)	2007.06.28
0782F2	078521	BRR	N	(02)	2007.06.28
078522	079507	BRR	N	(03)	2007.06.28
079508	079CB3	BRR	N	(04)	2007.06.28
079CB4	07AE49	BRR	N	(05)	2007.06.28
07AE4A	07B847	BRR	N	(06)	2007.06.28
07B848	07C578	BRR	N	(07)	2007.06.28
07C579	07D933	BRR	N	(08)	2007.06.28
07D934	07DD49	BRR	N	(09)	2007.06.28
07DD4A	07EEDF	BRR	N	(0A)	2007.06.28
07EEE0	07FD6F	BRR	N	(0B)	2007.06.28
07FD70	0804CA	BRR	N	(0C)	2007.06.28
0804CB	080D3C	BRR	N	(0D)	2007.06.28
080D3D	081686	BRR	N	(0E)	2007.06.28
081687	0827D4	BRR	N	(0F)	2007.06.28
0827D5	08319C	BRR	N	(10)	2007.06.28
08319D	08401A	BRR	N	(11)	2007.06.28
08401B	08501B	BRR	N	(12)	2007.06.28
08501C	085404	BRR	N	(13)	2007.06.28
085405	08675C	BRR	N	(14)	2007.06.28
08675D	087703	BRR	N	(15)	2007.06.28
087704	0882F9	BRR	N	(16)	2007.06.28
0882FA	0888A4	BRR	N	(17)	2007.06.28
0888A5	089035	BRR	N	(18)	2007.06.28
089036	08A213	BRR	N	(19)	2007.06.28
08A214	08AE36	BRR	N	(1A)	2007.06.28
08AE37	08BD95	BRR	N	(1B)	2007.06.28
08BD96	08D1C5	BRR	N	(1C)	2007.06.28
08D1C6	08E031	BRR	N	(1D)	2007.06.28
08E032	08ED3E	BRR	N	(1E)	2007.06.28
08ED3F	08F838	BRR	N	(1F)	2007.06.28
08F839	09072B	BRR	N	(20)	2007.06.28
09072C	0919B4	BRR	N	(21)	2007.06.28
0919B5	0926B8	BRR	N	(22)	2007.06.28
0926B9	094535	BRR	N	(23)	2007.06.28
094536	094BF7	BRR	N	(24)	2007.06.28
094BF8	095A3F	BRR	N	(25)	2007.06.28
095A40	095EDC	BRR	N	(26) - unused	2007.06.28
095EDD	096F88	BRR	N	(27)	2007.06.28
096F89	097D2E	BRR	N	(28)	2007.06.28
097D2F	09AB62	BRR	N	(29)	2007.06.28
09AB63	09B7D6	BRR	N	(2A)	2007.06.28
09B7D7	09C17A	BRR	N	(2B)	2007.06.28
09C17B	09DEA1	BRR	N	(2C)	2007.06.28
09DEA2	09EA19	BRR	N	(2D)	2007.06.28
09EA1A	09F2E5	BRR	N	(2E)	2007.06.28
09F2E6	09FDBB	BRR	N	(2F)	2007.06.28
09FDBC	0A0D1A	BRR	N	(30)	2007.06.28
0A0D1B	0A1C79	BRR	N	(31)	2007.06.28
0A1C7A	0A2758	BRR	N	(32)	2007.06.28
0A2759	0A2F79	BRR	N	(33)	2007.06.28
0A2F7A	0A3590	BRR	N	(34)	2007.06.28
0A3591	0A42C1	BRR	N	(35)	2007.06.28
0A42C2	0A483F	BRR	N	(36)	2007.06.28
0A4840	0A4DEA	BRR	N	(37)	2007.06.28
0A4DEB	0A5842	BRR	N	(38)	2007.06.28
0A5843	0A66A5	BRR	N	(39)	2007.06.28
0A66A6	0A6DE5	BRR	N	(3A)	2007.06.28
0A6DE6	0A895C	BRR	N	(3B)	2007.06.28
0A895D	0A8C9A	BRR	N	(3C)	2007.06.28
0A8C9B	0AA0D3	BRR	N	(3D)	2007.06.28
0AA0D4	0AA41A	BRR	N	(3E)	2007.06.28
0AA41B	0AA761	BRR	N	(3F)	2007.06.28
0AA762	0AA787	SPC	N	(00) Silence	2007.06.28
0AA788	0AAC43	SPC	N	(01) 1.05 - Memories of Green	2007.06.28
0AAC44	0AB018	SPC	N	(02) 1.09 - Wind Scene	2007.06.28
0AB019	0AB9A6	SPC	N	(03) 3.04 - Corridors of Time	2007.06.28
0AB9A7	0ABDA1	SPC	N	"(04) 2.20 - Rhythm of Wind, Sky, and Earth"	2007.06.28
0ABDA2	0ABECF	SPC	N	(05) 2.01 - Ruined World	2007.06.28
0ABED0	0ACAA9	SPC	N	(06) 1.06 - Guardia Millenial Fair	2007.06.28
0ACAAA	0ACBF3	SPC	N	(07) 3.09 - Far Off Promise	2007.06.28
0ACBF4	0AD1E4	SPC	N	(08) 1.11 - Secret of the Forest	2007.06.28
0AD1E5	0AD520	SPC	N	(09) 3.05 - Zeal Palace	2007.06.28
0AD521	0AD94B	SPC	N	(0A) 2.10 - Remains of Factory	2007.06.28
0AD94C	0ADEDD	SPC	N	(0B) 2.11 - Battle 2 (unreleased)	2007.06.28
0ADEDE	0AE3E7	SPC	N	(0C) 1.13 - Courage and Pride	2007.06.28
0AE3E8	0AEB67	SPC	N	(0D) 2.05 - Lavos' Theme (state change)	2007.06.28
0AEB68	0AEDAD	SPC	N	(0F) 1.03 - Morning Sunlight	2007.06.28
0AEDAE	0AEEBA	SPC	N	(0E) ?.?? - Alpha Version Intro (unreleased)	2007.06.28
0AEEBB	0AEFDF	SPC	N	(10) 1.15 - Manoria Cathedral	2007.06.28
0AEFE0	0AF121	SPC	N	(11) Sounds of the Ocean	2007.06.28
0AF122	0AF17A	SPC	N	(12) Leene's Bell	2007.06.28
0AF17B	0AFB4D	SPC	N	(13) 3.10 - Wings that Cross Time	2007.06.28
0AFB4E	0AFF89	SPC	N	(14) 3.06 - Schala's Theme	2007.06.28
0AFF8A	0B09A5	SPC	N	(15) 2.14 - Delightful Spekkio	2007.06.28
0B09A6	0B10B0	SPC	N	(16) 1.23 - A Shot of Crisis	2007.06.28
0B10B1	0B1A1D	SPC	N	(17) 1.21 - Kingdom Trial	2007.06.28
0B1A1E	0B2823	SPC	N	(18) 1.02 - Chrono Trigger (state change)	2007.06.28
0B2824	0B28AB	SPC	N	(19) Blackbird Interior	2007.06.28
0B28AC	0B2938	SPC	N	(1A) Blackbird Exterior	2007.06.28
0B2939	0B2D36	SPC	N	(1B) 1.20 - Fanfare 1	2007.06.28
0B2D37	0B2EF0	SPC	N	(1C) 2.12 - Fanfare 2	2007.06.28
0B2EF1	0B3294	SPC	N	(1D) 3.03 - At the Bottom of the Night	2007.06.28
0B3295	0B3842	SPC	N	(1E) 1.04 - Peaceful Day	2007.06.28
0B3843	0B413D	SPC	N	(1F) 1.08 - A Strange Happening	2007.06.28
0B413E	0B41A1	SPC	N	(20) Dungeon Dripping Noise	2007.06.28
0B41A2	0B4221	SPC	N	(21) Running Water	2007.06.28
0B4222	0B42B7	SPC	N	(22) Wind	2007.06.28
0B42B8	0B4772	SPC	N	(23) 1.22 - The Hidden Truth	2007.06.28
0B4773	0B4833	SPC	N	(24) 1.16 - A Prayer to the Road that Leads	2007.06.28
0B4834	0B4957	SPC	N	(25) 1.14 - Huh?	2007.06.28
0B4958	0B4A9A	SPC	N	(26) 2.06 - The Day the World Revived	2007.06.28
0B4A9B	0B5022	SPC	N	(27) 2.07 - Robo Gang Johnny	2007.06.28
0B5023	0B5CE9	SPC	N	(28) ?.?? - Tyrano Lair/Boss Battle 2 Remix (unreleased)	2007.06.28
0B5CEA	0B64F2	SPC	N	(29) 1.18 - Boss Battle 1	2007.06.28
0B64F3	0B6B1B	SPC	N	(2A) 1.19 - Frog's Theme	2007.06.28
0B6B1C	0B6BEE	SPC	N	(2B) 1.10 - Goodnight	2007.06.28
0B6BEF	0B6F09	SPC	N	(2C) 2.08 - Bike Chase	2007.06.28
0B6F0A	0B7358	SPC	N	(2D) 2.04 - People who Threw Away the Will to Live	2007.06.28
0B7359	0B7434	SPC	N	(2E) 2.02 - Mystery of the Past	2007.06.28
0B7435	0B78BA	SPC	N	(2F) 2.16 - Underground Sewer	2007.06.28
0B78BB	0B7BC4	SPC	N	(30) 1.01 - Presentiment	2007.06.28
0B7BC5	0B7ED4	SPC	N	(31) ?.?? - Keeper's Dome (unreleased)	2007.06.28
0B7ED5	0B8604	SPC	N	(32) 1.02 - Chrono Trigger	2007.06.28
0B8605	0B8C4B	SPC	N	(33) 2.03 - Lab 16's Ruins	2007.06.28
0B8C4C	0B8CEF	SPC	N	(34) Inside the Shell	2007.06.28
0B8CF0	0B8D69	SPC	N	(35) Quake	2007.06.28
0B8D6A	0B90F8	SPC	N	(36) 2.21 - Burn!  Bobonga!	2007.06.28
0B90F9	0B9195	SPC	N	(37) Wormhole	2007.06.28
0B9196	0B9A73	SPC	N	(38) 2.18 - Primitive Mountain	2007.06.28
0B9A74	0B9DAA	SPC	N	(39) 2.05 - Lavos' Theme	2007.06.28
0B9DAB	0B9EB1	SPC	N	(3A) Lavos Scream	2007.06.28
0B9EB2	0BA55B	SPC	N	(3B) 3.07 - Sealed Door	2007.06.28
0BA55C	0BACAA	SPC	N	(3C) 1.17 - Silent Light	2007.06.28
0BACAB	0BADC0	SPC	N	(3D) 2.15 - Fanfare 3	2007.06.28
0BADC1	0BB1A7	SPC	N	(3E) 2.13 - The Brink of Time	2007.06.28
0BB1A8	0BB4EA	SPC	N	(3F) 3.01 - Singing Mountain (unreleased)	2007.06.28
0BB4EB	0BB606	SPC	N	(40) 2.23 - Confusing Melody	2007.06.28
0BB607	0BB71D	SPC	N	(41) Hail Magus	2007.06.28
0BB71E	0BB87F	SPC	N	(42) 1.07 - Gonzales' Song	2007.06.28
0BB880	0BB8DB	SPC	N	(43) Heckran Cave Water	2007.06.28
0BB8DC	0BBD04	SPC	N	(44) ?.?? - Battle 1 Remix (unreleased)	2007.06.28
0BBD05	0BC3B7	SPC	N	(45) 1.12 - Battle 1	2007.06.28
0BC3B8	0BFFFF	---	N	UNUSED SPACE (15432 bytes)	2007.06.28
0C0000	0C004F	DATA	N	Crono stats	2007.06.28
0C0050	0C009F	DATA	N	Marle stats	2007.06.28
0C00A0	0C00EF	DATA	N	Lucca stats	2007.06.28
0C00F0	0C013F	DATA	N	Robo stats	2007.06.28
0C0140	0C018F	DATA	N	Frog stats	2007.06.28
0C0190	0C01DF	DATA	N	Ayla stats	2007.06.28
0C01E0	0C022F	DATA	N	Magus stats	2007.06.28
0C0230	0C0236	DATA	N	Tech to learn next	2007.06.28
0C0237	0C023D	DATA	N	Single Techs learned	2007.06.28
0C023E					2007.06.28
0C0AFC	0C12FF	TXT	N	"Item Names (9 bytes each, 228 strings)"	2007.06.28
0C1300	0C1667	TXT	N	"Tech Names (8 bytes each, 109 strings)"	2007.06.28
0C1668					2007.06.28
0C6700	0C6EFF	TXT	N	"Enemy Names (8 bytes each, 256 strings)"	2007.06.28
0C6F00					2007.06.28
0CC000	0CC0FF	PTR	N	Pointers to Battle Enemy Messages (128 strings)	2007.06.28
0CC100	0CC2BE	TXT	N	Battle Enemy Messages	2007.06.28
0CC2BF					2007.06.28
0FEBE9	0FEC02	PTR	N	Pointers to Battle Party Messages (13 strings)	2007.06.28
0FEC03	0FEC8B	TXT	N	Battle Party Messages	2007.06.28
0FEC8C					2007.06.28
120000	12729F	GFX	N	(06) PC Graphics - Magus	2007.06.28
1272A0	12FFFF	GFX	N	(00) PC Graphics - Crono	2007.06.28
130000	1369DF	GFX	N	(04) PC Graphics - Frog	2007.06.28
1369E0	13FFFF	GFX	N	(02) PC Graphics - Lucca	2007.06.28
140000	147A5F	GFX	N	(01) PC Graphics - Marle	2007.06.28
147A60	14FFFF	GFX	N	(03) PC Graphics - Robo	2007.06.28
150000	158BFF	GFX	N	(05) PC Graphics - Ayla	2007.06.28
158C00	15A03F	GFX	Y	(9D) NPC and Enemy Graphics - Ozzie	2007.06.28
